Timestamp,CameraID,CameraName,ObjectID,EventType,LineCount,PosX,PosY,Counted,AnomalyDetected,AnomalyType
2025-07-21 17:00:08,101,Camera 1,19,Bale Detected. Total: 5,5,55,344,True,false,
2025-07-21 17:00:24,101,Camera 1,21,Bale Detected. Total: 6,6,579,666,True,false,
2025-07-21 17:08:00,101,Camera 1,1,Bale Detected. Total: 1,1,472,585,True,false,
2025-07-21 17:08:17,101,Camera 1,3,Bale Detected. Total: 2,2,688,800,True,false,
2025-07-21 17:08:36,101,Camera 1,6,Bale Detected. Total: 3,3,105,352,True,false,
2025-07-21 17:09:28,101,Camera 1,1,Bale Detected. Total: 1,1,584,344,True,false,
2025-07-21 17:10:22,101,Camera 1,13,Bale Detected. Total: 1,1,249,923,True,false,
2025-07-21 17:10:58,101,Camera 1,18,Bale Detected. Total: 2,2,124,352,True,false,
2025-07-21 17:10:58,101,Camera 1,22,Bale Detected. Total: 2,2,74,334,True,false,
2025-07-21 17:11:15,101,Camera 1,24,Bale Detected. Total: 3,3,138,301,True,false,
2025-07-21 17:11:33,101,Camera 1,26,Bale Detected. Total: 4,4,205,493,True,false,
2025-07-21 17:12:07,101,Camera 1,32,Bale Detected. Total: 5,5,358,889,True,false,
2025-07-21 17:12:09,101,Camera 1,31,Bale Detected. Total: 3,3,37,365,True,false,
2025-07-21 17:12:25,101,Camera 1,37,Bale Detected. Total: 6,6,398,325,True,false,
2025-07-21 17:12:26,101,Camera 1,35,Bale Detected. Total: 4,4,133,351,True,false,
2025-07-21 17:13:50,101,Camera 1,2,Bale Detected. Total: 1,1,735,744,True,false,
2025-07-21 17:14:08,101,Camera 1,4,Bale Detected. Total: 2,2,639,686,True,false,
2025-07-21 17:14:25,101,Camera 1,6,Bale Detected. Total: 3,3,715,728,True,false,
2025-07-21 17:14:44,101,Camera 1,10,Bale Detected. Total: 4,4,174,697,True,false,
2025-07-21 17:15:01,101,Camera 1,14,Bale Detected. Total: 5,5,584,677,True,false,
2025-07-21 17:15:18,101,Camera 1,17,Bale Detected. Total: 6,6,712,743,True,false,
2025-07-21 17:15:37,101,Camera 1,20,Bale Detected. Total: 7,7,167,785,True,false,
2025-07-21 17:16:32,101,Camera 1,5,Bale Detected. Total: 1,1,164,303,True,false,
2025-07-21 17:16:32,101,Camera 1,29,Bale Detected. Total: 8,8,29,367,True,false,
2025-07-21 17:18:13,101,Camera 1,1,Bale Detected. Total: 1,1,701,738,True,false,
2025-07-21 17:18:32,101,Camera 1,5,Bale Detected. Total: 2,2,116,568,True,false,
2025-07-21 17:18:49,101,Camera 1,8,Bale Detected. Total: 3,3,308,813,True,false,
2025-07-21 17:19:06,101,Camera 1,11,Bale Detected. Total: 4,4,845,900,True,false,
2025-07-21 17:19:24,101,Camera 1,15,Bale Detected. Total: 5,5,611,667,True,false,
2025-07-21 17:19:41,101,Camera 1,17,Bale Detected. Total: 6,6,887,945,True,false,
2025-07-21 17:19:43,101,Camera 1,18,Bale Detected. Total: 7,7,61,333,True,false,
2025-07-21 17:19:58,101,Camera 1,19,Bale Detected. Total: 8,8,1114,901,True,false,
2025-07-21 17:20:16,101,Camera 1,22,Bale Detected. Total: 9,9,599,676,True,false,
2025-07-21 17:20:34,101,Camera 1,25,Bale Detected. Total: 10,10,506,338,True,false,
2025-07-21 17:20:52,101,Camera 1,28,Bale Detected. Total: 11,11,411,680,True,false,
2025-07-21 17:21:09,101,Camera 1,30,Bale Detected. Total: 12,12,703,752,True,false,
2025-07-21 17:21:43,101,Camera 1,1,Bale Detected. Total: 1,1,901,900,True,false,
2025-07-21 17:22:03,101,Camera 1,6,Bale Detected. Total: 2,2,72,357,True,false,
2025-07-21 17:22:55,101,Camera 1,1,Bale Detected. Total: 1,1,321,523,True,false,
2025-07-21 17:23:12,101,Camera 1,3,Bale Detected. Total: 2,2,422,884,True,false,
2025-07-21 17:23:29,101,Camera 1,7,Bale Detected. Total: 3,3,736,800,True,false,
2025-07-21 17:23:47,101,Camera 1,10,Bale Detected. Total: 4,4,351,691,True,false,
2025-07-21 17:24:04,101,Camera 1,13,Bale Detected. Total: 5,5,902,884,True,false,
2025-07-21 17:24:40,101,Camera 1,24,Bale Detected. Total: 6,6,235,609,True,false,
2025-07-21 17:24:57,101,Camera 1,26,Bale Detected. Total: 7,7,543,588,True,false,
2025-07-21 17:25:14,101,Camera 1,29,Bale Detected. Total: 8,8,541,647,True,false,
2025-07-21 17:25:32,101,Camera 1,31,Bale Detected. Total: 9,9,590,713,True,false,
2025-07-21 17:25:51,101,Camera 1,35,Bale Detected. Total: 10,10,78,360,True,false,
2025-07-21 17:26:07,101,Camera 1,37,Bale Detected. Total: 11,11,558,647,True,false,
2025-07-21 17:26:24,101,Camera 1,39,Bale Detected. Total: 12,12,758,806,True,false,
2025-07-21 17:26:42,101,Camera 1,40,Bale Detected. Total: 13,13,813,884,True,false,
2025-07-21 17:27:00,101,Camera 1,43,Bale Detected. Total: 14,14,354,882,True,false,
2025-07-21 17:27:17,101,Camera 1,45,Bale Detected. Total: 15,15,692,730,True,false,
2025-07-21 17:27:35,101,Camera 1,47,Bale Detected. Total: 16,16,323,789,True,false,
2025-07-21 17:27:52,101,Camera 1,49,Bale Detected. Total: 17,17,704,698,True,false,
2025-07-21 17:28:09,101,Camera 1,53,Bale Detected. Total: 18,18,889,789,True,false,
2025-07-21 17:28:28,101,Camera 1,56,Bale Detected. Total: 19,19,222,744,True,false,
2025-07-21 17:28:44,101,Camera 1,59,Bale Detected. Total: 20,20,659,574,True,false,
2025-07-21 17:29:02,101,Camera 1,61,Bale Detected. Total: 21,21,716,867,True,false,
2025-07-21 17:29:19,101,Camera 1,64,Bale Detected. Total: 22,22,929,739,True,false,
2025-07-21 17:29:38,101,Camera 1,66,Bale Detected. Total: 23,23,296,802,True,false,
2025-07-21 17:29:55,101,Camera 1,68,Bale Detected. Total: 24,24,687,677,True,false,
2025-07-21 17:30:12,101,Camera 1,70,Bale Detected. Total: 25,25,810,739,True,false,
2025-07-21 17:30:30,101,Camera 1,73,Bale Detected. Total: 26,26,558,629,True,false,
